Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-01369,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Fuel island,12/8/2025,5:35 PM,899749,Mechanic B,Third Party or Contractor Incident,No,12/10/2024,Tripped over equipment,Other of Multiple Body Parts,Employee stumbled over hose/equipment in Fuel island during regular duties.,Poor Ergonomics,Inadequate preventive maintenance created ergonomic hazard.,"Why was tripped over equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00249,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Loading dock,3/5/2025,4:49 PM,690509,Shuttle Driver,Employee Incident,No,3/7/2024,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Loading dock.,Failure to Identify Hazards,Design limitations combined with lack of environmental awareness.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00406,WESTERN DIVISION,SOUTH PACIFIC ZONE,SILICON VALLEY,UBER SOUTH SAN FRANCISCO (04505-22),TNC,Vehicle wash area,4/14/2025,11:49 AM,722234,Service Agent,Customer Incident,No,4/14/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee struck by slow-moving vehicle in Vehicle wash area.,Training Deficiency,Employee had not completed updated safety training module.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00123,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Breakroom,2/2/2025,1:42 PM,426584,Transporter Car,Vehicle Incident (Motor Vehicle Accident),Yes,2/3/2024,Struck head on low-hanging object,Burn of Hand,Employee did not notice overhead obstruction while working in Breakroom.,Customer/3rd Party/Vendor related incident,Contractor working on-site did not follow Hertz safety protocols.,"Why was struck head on low-hanging object not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00599,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Fuel island,5/29/2025,8:56 PM,624094,Counter Sales Rep,Vehicle Incident (Motor Vehicle Accident),Yes,5/31/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Wet conditions in Fuel island led to slip incident. Employee followed reporting protocols.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver ran red light at intersection.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01166,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Service lot,10/19/2025,7:42 AM,233465,Service Agent,Vehicle Incident (Motor Vehicle Accident),Yes,10/20/2024,Hit by moving vehicle,Slip or Trip but did not fall,Near-miss escalated when vehicle contacted employee in Service lot.,Customer/3rd Party/Vendor related incident,Customer became aggressive during return dispute.,"Why was hit by moving vehicle not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00833,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Counter area,7/29/2025,6:42 AM,619238,Transporter - Rideshare,Property Damage,No,7/29/2024,Slip on fuel spill,Contusion/Bruise of Hand,Fuel leak at Counter area created slip hazard; employee slipped before area could be cleared.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00672,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Parking garage,6/18/2025,8:42 AM,408515,Service Agent,Property Damage,No,6/18/2024,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Parking garage.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was chemical splash during cleaning not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01256,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Breakroom,11/11/2025,9:21 PM,941811,Service Agent,Customer Incident,No,11/13/2024,Caught between equipment,Laceration of Finger,Pinch point injury in Breakroom during equipment staging.,Unpredictable event (personal issue),Personal distraction reported as contributing factor.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00445,WESTERN DIVISION,NORTH PACIFIC ZONE,PORTLAND AP,PORTLAND INTL AP (03200-14),ADMIN,Shuttle staging area,4/24/2025,3:14 PM,272216,Shuttle Driver,Customer Incident,No,4/26/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Shuttle staging area.,Standard Work Procedures Insufficient or Non-existent,Employee unaware a procedure existed for this task.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00951,WESTERN DIVISION,SOUTHWEST ZONE,PHOENIX AP,PHOENIX SKY HARBOR (01950-17),AIRPORT,Parking garage,8/29/2025,7:00 AM,426988,Shuttle Driver,Third Party or Contractor Incident,No,8/31/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Wet conditions in Parking garage led to slip incident. Employee followed reporting protocols.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01794,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,3/19/2026,3:07 PM,164076,Mechanic A,Vehicle Incident (Motor Vehicle Accident),Yes,3/21/2025,Slip on fuel spill,Contusion/Bruise of Hand,Increased rental volume during peak season resulted in congested Maintenance bay and reduced sightlines.,Failure to Identify Hazards,Surge staffing onboarded without completing location-specific safety orientation.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00224,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Shuttle staging area,2/28/2025,11:28 AM,397992,Instant Return Rep,Property Damage,No,3/2/2024,Door closed on hand/finger,Laceration of Finger,Employee's hand/finger caught in vehicle door during Shuttle staging area operations.,Unpredictable event (personal issue),Personal distraction reported as contributing factor.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00054,CANADA,CA ALBERTA ZONE,TORONTO AP,TORONTO PEARSON INTL (08200-11),AIRPORT,Maintenance bay,1/15/2025,11:07 AM,721427,Lot Attendant,Customer Incident,No,1/17/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee in blind spot of reversing vehicle in Maintenance bay.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00903,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Vehicle wash area,8/18/2025,5:35 PM,703618,Transporter Car,Vehicle Incident (Motor Vehicle Accident),Yes,8/18/2024,Tripped over equipment,Other of Multiple Body Parts,Employee tripped over equipment left in walkway in Vehicle wash area.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00793,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Counter area,7/18/2025,12:21 PM,195775,Lot Attendant,Customer Incident,No,7/20/2024,Slip on fuel spill,Contusion/Bruise of Hand,Employee slipped on fuel overspray in Counter area during refueling operations.,Customer/3rd Party/Vendor related incident,Contractor working on-site did not follow Hertz safety protocols.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00306,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Customer pickup zone,3/20/2025,9:56 AM,946446,Transporter - Rideshare,Vehicle Incident (Motor Vehicle Accident),Yes,3/22/2024,Door closed on hand/finger,Laceration of Finger,Vehicle door closed unexpectedly on employee's finger in Customer pickup zone.,Failure to Identify Hazards,Hazard present for extended period without being flagged.,"Why was door closed on hand/finger not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01643,WESTERN DIVISION,NORTH PACIFIC ZONE,PORTLAND AP,PORTLAND INTL AP (03200-14),ADMIN,Service lot,2/16/2026,5:42 PM,840551,Customer Experience Associate,Third Party or Contractor Incident,No,2/17/2025,Hit by moving vehicle,Slip or Trip but did not fall,Near-miss escalated when vehicle contacted employee in Service lot.,Training Deficiency,Lack of defensive driving training for high-risk scenarios.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00260,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Customer pickup zone,3/8/2025,9:42 AM,687712,Counter Sales Rep,Customer Incident,No,3/9/2024,Caught between equipment,Laceration of Finger,Pinch point injury in Customer pickup zone during equipment staging.,Training Deficiency,Lack of defensive driving training for high-risk scenarios.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00126,EASTERN DIVISION,NORTHEAST ZONE,DETROIT AP,DETROIT METRO WAYNE (01650-11),MAINTENANCE,Fuel island,2/3/2025,4:49 PM,908184,Instant Return Rep,Customer Incident,No,2/5/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Fuel island caused wrist/shoulder strain.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00639,EASTERN DIVISION,NORTHEAST ZONE,DETROIT AP,DETROIT METRO WAYNE (01650-11),MAINTENANCE,Shuttle staging area,6/9/2025,5:21 AM,563555,Counter Sales Rep,Third Party or Contractor Incident,No,6/11/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,"Employee lifted oversized item without assistance in Shuttle staging area, causing strain injury.",Poor Ergonomics,Inadequate preventive maintenance created ergonomic hazard.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01322,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Maintenance bay,11/27/2025,1:56 PM,113625,Mgr Customer Ops,Vehicle Incident (Motor Vehicle Accident),Yes,11/28/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Standing water in Maintenance bay not marked with wet floor signage. Employee slipped while on regular duties.,Standard Work Procedures Insufficient or Non-existent,SWP not posted at point of use.,"Why was employee slipped on wet floor while walking not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00044,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Parking garage,1/12/2025,1:00 PM,699975,Mechanic B,Employee Incident,No,1/15/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Sustained repetitive tasks in Parking garage led to cumulative strain injury.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why was repetitive motion strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00163,CANADA,CA ALBERTA ZONE,TORONTO AP,TORONTO PEARSON INTL (08200-11),AIRPORT,Maintenance bay,2/12/2025,8:00 AM,487484,Safety Supervisor,Third Party or Contractor Incident,No,2/13/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee fell from vehicle step during boarding in Maintenance bay.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01877,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Customer pickup zone,4/7/2026,8:00 AM,564915,Lot Attendant,Vehicle Incident (Motor Vehicle Accident),Yes,4/7/2025,Slip on fuel spill,Contusion/Bruise of Hand,Employee slipped on fuel overspray in Customer pickup zone during refueling operations.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why was slip on fuel spill not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00667,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Maintenance bay,6/16/2025,3:35 PM,843764,Shuttle Driver,Employee Incident,No,6/18/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee struck by slow-moving vehicle in Maintenance bay.,Standard Work Procedures Insufficient or Non-existent,Procedure exists but has not been reviewed in over 12 months.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01897,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Loading dock,4/12/2026,11:56 AM,254679,Lot Attendant,Customer Incident,No,4/12/2025,Caught between equipment,Laceration of Finger,Employee's hand caught between two pieces of equipment in Loading dock.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was caught between equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01024,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Return area,9/16/2025,9:42 PM,281370,Mechanic B,Employee Incident,No,9/18/2024,Door closed on hand/finger,Laceration of Finger,Vehicle door closed unexpectedly on employee's finger in Return area.,Failure to Identify Hazards,Hazard present for extended period without being flagged.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00214,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Service lot,2/25/2025,7:49 AM,192444,Shuttle Driver,Employee Incident,No,2/28/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Service lot caused fall.,Unpredictable event (personal issue),Employee had undisclosed pre-existing condition that contributed.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00836,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Loading dock,7/30/2025,10:00 AM,328092,Transporter Car,Vehicle Incident (Motor Vehicle Accident),Yes,7/30/2024,Slip on fuel spill,Contusion/Bruise of Hand,Fuel leak at Loading dock created slip hazard; employee slipped before area could be cleared.,Process not error-proof,No two-person requirement enforced for heavy lift tasks.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01753,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Customer pickup zone,3/11/2026,2:00 PM,497735,Counter Sales Rep,Third Party or Contractor Incident,No,3/13/2025,Vehicle collision at intersection,Contusion/Bruise of Hand,MVA in Customer pickup zone involving Hertz vehicle. Third-party driver cited as at fault.,Poor Ergonomics,Tools not appropriate size/weight for frequent repetitive use.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01366,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Loading dock,12/7/2025,1:21 PM,285715,Mechanic B,Vehicle Incident (Motor Vehicle Accident),Yes,12/9/2024,Tripped over equipment,Other of Multiple Body Parts,Employee tripped over equipment left in walkway in Loading dock.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01148,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Counter area,10/14/2025,4:56 PM,571516,Mechanic B,Third Party or Contractor Incident,No,10/15/2024,Tripped over equipment,Other of Multiple Body Parts,Employee tripped over equipment left in walkway in Counter area.,Customer/3rd Party/Vendor related incident,Third-party delivery vehicle operating unsafely in return area.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01563,WESTERN DIVISION,SOUTH PACIFIC ZONE,SILICON VALLEY,UBER SOUTH SAN FRANCISCO (04505-22),TNC,Service lot,1/27/2026,11:42 AM,463773,Service Agent,Vehicle Incident (Motor Vehicle Accident),Yes,1/29/2025,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Standing water in Service lot not marked with wet floor signage. Employee slipped while on regular duties.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01153,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Employee entrance,10/15/2025,1:21 PM,590406,Fleet Coordinator,Customer Incident,No,10/17/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,Manual lifting task in Employee entrance resulted in lower back strain.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01149,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Counter area,10/14/2025,3:35 PM,691155,VSA,Employee Incident,No,10/15/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Counter area.,Process not error-proof,Warning signage absent or not visible from task position.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01616,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Parking garage,2/9/2026,6:49 PM,450971,Service Agent,Property Damage,No,2/10/2025,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Wet conditions in Parking garage led to slip incident. Employee followed reporting protocols.,Training Deficiency,Insufficient onboarding for new equipment type.,"Why was employee slipped on wet floor while walking not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00255,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Parking garage,3/7/2025,10:00 AM,560333,Service Agent,Employee Incident,No,3/8/2024,Door closed on hand/finger,Laceration of Finger,Vehicle door closed unexpectedly on employee's finger in Parking garage.,Standard Work Procedures Insufficient or Non-existent,Procedure exists but has not been reviewed in over 12 months.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01594,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Return area,2/4/2026,1:35 PM,730133,Instant Return Rep,Property Damage,No,2/6/2025,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee fell from vehicle step during boarding in Return area.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00995,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Parking garage,9/8/2025,1:42 PM,721885,Instant Return Rep,Third Party or Contractor Incident,No,9/9/2024,Tripped over equipment,Other of Multiple Body Parts,Employee tripped over equipment left in walkway in Parking garage.,Poor Ergonomics,Workstation layout requires repeated awkward posture.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00871,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Shuttle staging area,8/9/2025,6:07 AM,424296,Transporter - Rideshare,Property Damage,No,8/9/2024,Door closed on hand/finger,Laceration of Finger,Vehicle door closed unexpectedly on employee's finger in Shuttle staging area.,Poor Ergonomics,No ergonomic assessment completed for this task.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01568,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Parking garage,1/29/2026,11:14 AM,415917,Fleet Coordinator,Customer Incident,No,1/29/2025,Chemical splash during cleaning,No Physical Injury,Improper PPE use during chemical cleaning in Parking garage led to splash exposure.,Process not error-proof,Warning signage absent or not visible from task position.,"Why was chemical splash during cleaning not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01612,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Vehicle wash area,2/8/2026,4:00 PM,600531,Transporter Car,Vehicle Incident (Motor Vehicle Accident),Yes,2/9/2025,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,Employee sustained back strain while lifting equipment in Vehicle wash area.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver ran red light at intersection.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01522,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Parking garage,1/17/2026,7:21 PM,900122,Counter Sales Rep,Employee Incident,No,1/17/2025,Chemical splash during cleaning,No Physical Injury,Cleaning product container failure in Parking garage caused unintended chemical contact.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00482,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Vehicle wash area,5/3/2025,5:56 PM,175137,Customer Experience Associate,Vehicle Incident (Motor Vehicle Accident),Yes,5/3/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee struck by slow-moving vehicle in Vehicle wash area.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
